ID,Mission,Type,Subtype,Weight (g),Weight (kg),Pristine (%),,Mission,Sample weight (kg),Weight diff,Lunar module (LM),LM mass (kg),LM mass diff,Command Module (CM),CM mass (kg),CM mass diff
12004,Apollo12,Basalt,Olivine,585,0.585,85.53,,,,,,,,,,
12005,Apollo12,Basalt,Ilmenite,482,0.482,88.31,,,,,,,,,,
12006,Apollo12,Basalt,Olivine,206.4,0.2064,0.53,,,,,,,,,,
12007,Apollo12,Basalt,Pigeonite,65.2,0.0652,72.72,,,,,,,,,,
12008,Apollo12,Basalt,Ilmenite,58.4,0.0584,57.71,,,,,,,,,,
12009,Apollo12,Basalt,Olivine,468.2,0.4682,88.43,,,,,,,,,,
12010,Apollo12,Breccia,Regolith,360,0.36,87.53,,,,,,,,,,
12011,Apollo12,Basalt,Pigeonite,193,0.193,93.49,,,,,,,,,,
12012,Apollo12,Basalt,Olivine,176.2,0.1762,91.92,,,,,,,,,,
12013,Apollo12,Breccia,Fragmental,82.3,0.0823,75.62,,,,,,,,,,
12014,Apollo12,Basalt,Olivine,159.4,0.1594,91.18,,,,,,,,,,
12015,Apollo12,Basalt,Olivine,191.2,0.1912,93.52,,,,,,,,,,
12016,Apollo12,Basalt,Ilmenite,2028,2.028,100.08,,,,,,,,,,
12017,Apollo12,Basalt,Pigeonite,53,0.053,62.45,,,,,,,,,,
12018,Apollo12,Basalt,Olivine,787,0.787,57.05,,,,,,,,,,
12019,Apollo12,Basalt,Pigeonite,462.4,0.4624,97.14,,,,,,,,,,
12020,Apollo12,Basalt,Olivine,312,0.312,76.65,,,,,,,,,,
12021,Apollo12,Basalt,Pigeonite,1877,1.877,85.78,,,,,,,,,,
12022,Apollo12,Basalt,Ilmenite,1864,1.864,79.76,,,,,,,,,,
12023,Apollo12,Special,,407.9,0.4079,66.89,,,,,,,,,,
12024,Apollo12,Soil,Unsieved,56.5,0.0565,65.87,,,,,,,,,,
12025,Apollo12,Core,Unsieved,56.1,0.0561,163.41,,,,,,,,,,
12026,Apollo12,Core,Unsieved,101.4,0.1014,53.28,,,,,,,,,,
12027,Apollo12,Core,Unsieved,80,0.08,48.5,,,,,,,,,,
12028,Apollo12,Core,Unsieved,189.6,0.1896,27.56,,,,,,,,,,
12029,Apollo12,Soil,Unsieved,6.5,0.0065,0,,,,,,,,,,
12030,Apollo12,Soil,Unsieved,75,0.075,68.66,,,,,,,,,,
12031,Apollo12,Basalt,Pigeonite,185,0.185,97.18,,,,,,,,,,
12032,Apollo12,Soil,Unsieved,310.5,0.3105,69.52,,,,,,,,,,
12033,Apollo12,Soil,Unsieved,450,0.45,68.27,,,,,,,,,,
12034,Apollo12,Breccia,Regolith,155,0.155,90.62,,,,,,,,,,
12035,Apollo12,Basalt,Olivine,71,0.071,48.54,,,,,,,,,,
12036,Apollo12,Basalt,Olivine,75,0.075,73.01,,,,,,,,,,
12037,Apollo12,Soil,Unsieved,145,0.145,74.75,,,,,,,,,,
12038,Apollo12,Basalt,Feldspathic,746,0.746,80.5,,,,,,,,,,
12039,Apollo12,Basalt,Pigeonite,255,0.255,90.37,,,,,,,,,,
12040,Apollo12,Basalt,Olivine,319,0.319,71.11,,,,,,,,,,
12041,Apollo12,Soil,Unsieved,19.3,0.0193,41.4,,,,,,,,,,
12042,Apollo12,Soil,Unsieved,255,0.255,61.64,,,,,,,,,,
12043,Apollo12,Basalt,Pigeonite,60,0.06,94.83,,,,,,,,,,
12044,Apollo12,Soil,Unsieved,92,0.092,99.17,,,,,,,,,,
12045,Apollo12,Basalt,Ilmenite,63,0.063,83.91,,,,,,,,,,
12046,Apollo12,Basalt,Ilmenite,166,0.166,96.59,,,,,,,,,,
12047,Apollo12,Basalt,Ilmenite,193,0.193,33.7,,,,,,,,,,
12048,Apollo12,Soil,Unsieved,136,0.136,1.01,,,,,,,,,,
12050,Apollo12,Breccia,Unclassified,1,0.001,0,,,,,,,,,,
12051,Apollo12,Basalt,Ilmenite,1660,1.66,87.53,,,,,,,,,,
12052,Apollo12,Basalt,Pigeonite,1866,1.866,86.93,,,,,,,,,,
12053,Apollo12,Basalt,Pigeonite,879,0.879,46.43,,,,,,,,,,
12054,Apollo12,Basalt,Ilmenite,687,0.687,90.98,,,,,,,,,,
12055,Apollo12,Basalt,Pigeonite,912,0.912,26,,,,,,,,,,
12056,Apollo12,Basalt,Ilmenite,121,0.121,92.46,,,,,,,,,,
12057,Apollo12,Soil,Unsieved,650,0.65,58.05,,,,,,,,,,
12060,Apollo12,Soil,Unsieved,20.7,0.0207,107.11,,,,,,,,,,
12061,Apollo12,Basalt,Ilmenite,9.5,0.0095,78.23,,,,,,,,,,
12062,Apollo12,Basalt,Ilmenite,738.7,0.7387,97.52,,,,,,,,,,
12063,Apollo12,Basalt,Ilmenite,2426,2.426,86.38,,,,,,,,,,
12064,Apollo12,Basalt,Ilmenite,1214,1.214,91.7,,,,,,,,,,
12065,Apollo12,Basalt,Pigeonite,2109,2.109,64.84,,,,,,,,,,
12070,Apollo12,Soil,Unsieved,1102,1.102,80.24,,,,,,,,,,
12072,Apollo12,Basalt,Olivine,103.6,0.1036,92.14,,,,,,,,,,
12073,Apollo12,Breccia,Regolith,407.7,0.4077,83.98,,,,,,,,,,
12075,Apollo12,Basalt,Olivine,232.5,0.2325,79.98,,,,,,,,,,
12076,Apollo12,Basalt,Olivine,54.55,0.05455,82.79,,,,,,,,,,
12077,Apollo12,Basalt,Olivine,22.63,0.02263,87.94,,,,,,,,,,
14001,Apollo14,Soil,2-4mm,31.8,0.0318,49.19,,,,,,,,,,
14002,Apollo14,Soil,1-2mm,42.1,0.0421,92.54,,,,,,,,,,
14003,Apollo14,Soil,<1mm,947.9,0.9479,63.03,,,,,,,,,,
